global_id,left_track_id,left_count,right_track_id,right_count
1,12,3330,10,3349
2,8,2181,7,3759
3,5,632,3,734
4,7,1680,8,1821
5,6,3341,9,3361
6,2,3789,6,3373
7,1,5096,1,5096
8,11,3309,13,3875
9,3,6755,4,4083
10,13,16,14,11
11,19,2864,5,3832
12,21,43,16,403
13,26,33,22,64
14,27,758,11,2364
15,28,1130,24,1100
16,30,228,31,625
17,33,1038,39,841
18,34,562,33,1018
19,36,760,36,916
20,37,119,37,238
21,41,239,45,412
22,43,15,46,18
23,45,62,48,84
24,51,113,49,119
25,52,197,50,163
26,53,180,51,195
27,54,968,59,897
28,57,810,56,874
29,59,59,57,107
30,58,843,55,450
31,61,364,58,398
32,62,709,17,4309
33,63,189,61,237
34,64,1034,145,553
35,65,5,66,21
36,67,542,63,703
37,69,1102,69,1102
38,9,7372,433,314
39,77,487,91,903
40,173,965,92,1561
41,175,2748,221,2839
42,184,853,223,2763
43,185,29,225,34
44,186,163,206,362
45,198,602,226,822
46,253,704,135,1640
47,254,89,296,88
48,255,639,304,645
49,256,1255,305,1170
50,258,370,319,376
51,261,169,211,1000
52,262,624,320,637
53,264,2060,318,3403
54,276,164,325,109
55,278,2016,444,938
56,277,1468,328,1472
57,279,1039,442,90
58,327,619,369,625
59,331,993,324,2741
60,358,1213,299,2493
61,384,2404,414,2275
62,409,71,439,53
63,406,594,438,246
64,411,724,479,504
65,412,232,443,255
66,413,799,492,660
67,460,609,441,963
68,463,17,499,16
69,523,1004,556,1030
70,547,746,580,772
71,548,4920,581,2005
72,550,1490,582,3242
73,581,315,576,873
74,579,316,579,667
75,580,543,611,527
76,583,467,614,645
77,586,1896,615,1922
78,588,111,612,445
79,590,207,620,204
80,591,969,622,1056
81,592,2466,619,2701
82,597,128,630,730
83,608,2153,639,864
84,612,1238,764,494
85,613,3349,663,2700
86,615,1407,665,1723
87,624,17,712,25
88,625,1426,664,1861
89,630,998,662,1530
90,627,496,763,388
91,713,364,783,484
92,730,14,846,14
93,731,1960,929,1701
94,796,523,928,661
95,806,29,935,26
96,810,865,849,586
97,845,428,999,523
98,860,1057,818,3310
99,848,694,1028,578
100,872,1386,1188,504
101,875,906,1057,904
102,933,355,1047,971
103,994,782,1166,708
104,1001,331,1167,331
105,1016,398,1007,1538
106,1024,2991,1183,1707
107,1054,61,1207,143
108,1059,12,1214,23
109,1060,168,1215,176
110,1102,1050,616,5531
111,1105,902,1285,935
112,1107,1319,1256,1727
113,1108,580,1292,586
114,1109,1828,1217,963
115,1112,739,1290,627
116,1113,1103,1298,1077
117,1114,1267,1287,1998
118,1116,246,1301,244
119,1119,815,1299,1124
120,1121,5564,1574,218
121,1120,211,1303,193
122,1122,1563,1344,1285
123,1125,99,1310,99
124,1164,125,1341,304
125,1174,1031,1345,478
126,1180,20,1350,16
127,1181,1766,1351,2469
128,1182,788,1347,1421
129,1198,11,1378,17
130,1199,2436,1433,1072
131,1220,1093,1401,1226
132,1265,946,1404,1045
133,1266,13,1428,12
134,1269,11,1432,25
135,1224,422,1436,233
136,1270,254,1439,130
137,1272,4074,1645,1608
138,1275,62,1442,69
139,1271,1839,1443,1706
140,1276,563,1444,1301
141,1309,15,1474,18
142,1306,1109,1479,790
143,1314,892,1438,1464
144,1317,1377,1483,1332
145,1335,265,1504,486
146,1365,577,1531,554
147,1374,756,1356,3355
148,1411,15,1568,14
149,1414,89,1553,192
150,1412,468,1571,911
151,1420,324,1575,309
152,1453,290,1585,325
153,1454,1158,1607,2655
154,1455,1317,1626,1879
155,1456,743,1613,735
156,1459,564,1614,692
157,1460,776,1608,1024
158,1463,1043,1618,1219
159,1467,262,1620,158
160,1468,810,1621,1246
161,1469,877,1623,907
162,1470,1006,1644,1054
163,1481,1407,1642,1440
164,1499,448,1646,1565
165,1500,977,1647,1851
166,1508,3192,1711,3873
167,1528,465,1726,491
168,1552,1900,1764,2895
169,1574,1611,1806,534
